ID,L1,L2,L3,N1,N2,N3,LA,NA
C39173,0.113151,0.34541,0.5414452,0.113151,0.34541,0.5414452,263.8329326,249.266869
C39175,0.1573491,0.466668,0.3759669,0.1573491,0.466668,0.3759669,262.935306,247.680554
C40001,0.2964391,0.438715,0.2648364,0.2964391,0.438715,0.2648364,263.1816848,247.984549
C40003,0.183691,0.415625,0.400682,0.183691,0.415625,0.400682,263.2742181,249.5325992
C40005,0.2511076,0.421935,0.3269751,0.2511076,0.421935,0.3269751,261.9046201,247.4905943
C40007,0.2322641,0.398345,0.3694091,0.2322641,0.398345,0.3694091,264.1759605,249.9978287
C40009,0.2303649,0.413894,0.3557481,0.2303649,0.413894,0.3557481,264.1473365,248.191585
C4001,0.2892099,0.402023,0.3087604,0.2892099,0.402023,0.3087604,263.2928013,247.4578356
C40011,0.2175631,0.402859,0.3795712,0.2175631,0.402859,0.3795712,262.6539873,247.8983403
C40013,0.1987318,0.374335,0.4269189,0.1987318,0.374335,0.4269189,263.7838769,248.5305244
C40015,0.2308167,0.420178,0.3489984,0.2308167,0.420178,0.3489984,263.0548449,249.2863179
C40017,0.1410354,0.339931,0.5190303,0.1410354,0.339931,0.5190303,263.8946853,247.6258725
C40019,0.2124356,0.401201,0.3863647,0.2124356,0.401201,0.3863647,263.7558564,247.8553291
C40021,0.2126388,0.356928,0.4304293,0.2126388,0.356928,0.4304293,263.1506988,247.0653957
C40023,0.2988039,0.416191,0.284998,0.2988039,0.416191,0.284998,263.0895459,247.59186
C40025,0.2457423,0.398039,0.3562235,0.2457423,0.398039,0.3562235,263.6281732,247.4121962
C40027,0.148019,0.310267,0.5417176,0.148019,0.310267,0.5417176,263.2650901,247.8293797
C40029,0.245279,0.417437,0.3372731,0.245279,0.417437,0.3372731,262.2498464,247.8274484
C4003,0.2393192,0.320318,0.4403706,0.2393192,0.320318,0.4403706,263.5621987,248.0950545
C40031,0.2127248,0.367572,0.419697,0.2127248,0.367572,0.419697,262.7842047,249.5729942
C40033,0.2107064,0.4163,0.372999,0.2107064,0.4163,0.372999,263.2452651,248.7662714
C40035,0.2175375,0.417872,0.3645895,0.2175375,0.417872,0.3645895,262.542677,247.4855802
C40037,0.2099515,0.4221108,0.3679373,0.2099515,0.4221108,0.3679373,263.3521055,247.9500726
C40039,0.202449,0.371142,0.4264168,0.202449,0.371142,0.4264168,263.123859,248.1459287
C40041,0.222186,0.394844,0.3829742,0.222186,0.394844,0.3829742,263.3347625,247.9567039
C40043,0.15842,0.438024,0.4035538,0.15842,0.438024,0.4035538,264.7050686,247.1080844
C40045,0.1846767,0.38473,0.4305892,0.1846767,0.38473,0.4305892,264.9252382,247.183222
C40047,0.2034736,0.388162,0.4083585,0.2034736,0.388162,0.4083585,263.2948826,248.0005765
C40049,0.2235721,0.437497,0.3389355,0.2235721,0.437497,0.3389355,262.8365462,247.696491
C4005,0.1802964,0.312125,0.5075805,0.1802964,0.312125,0.5075805,262.3235633,248.035606
C40051,0.1815595,0.408984,0.4094537,0.1815595,0.408984,0.4094537,263.5814215,248.8710582
C40053,0.1574755,0.379096,0.4634248,0.1574755,0.379096,0.4634248,262.7173187,247.6543881
C40055,0.2437179,0.395813,0.3604817,0.2437179,0.395813,0.3604817,262.6356612,247.3208102
C40057,0.2915253,0.325016,0.383444,0.2915253,0.325016,0.383444,263.5579173,247.6760336
C40059,0.2241094,0.385691,0.3902117,0.2241094,0.385691,0.3902117,262.6210313,247.4929347
C40061,0.2490521,0.414176,0.3367607,0.2490521,0.414176,0.3367607,262.8759599,247.8985428
C40063,0.2666147,0.421595,0.3117903,0.2666147,0.421595,0.3117903,262.3672109,247.5470697
C40065,0.2564485,0.321203,0.4223562,0.2564485,0.321203,0.4223562,263.54887,247.8547012
C40067,0.244835,0.430683,0.3244868,0.244835,0.430683,0.3244868,263.6252018,248.00227
C40069,0.2625717,0.396043,0.3413887,0.2625717,0.396043,0.3413887,262.121616,247.9851165
C4007,0.2373046,0.363875,0.3988278,0.2373046,0.363875,0.3988278,263.4448086,248.0768909
C40071,0.2023599,0.366065,0.4315748,0.2023599,0.366065,0.4315748,263.5507258,248.0119907
C40073,0.1841568,0.384018,0.43182,0.1841568,0.384018,0.43182,263.9467936,248.3418459
C40075,0.2344049,0.39516,0.3704525,0.2344049,0.39516,0.3704525,263.5361731,247.6031134
C40077,0.2180796,0.379855,0.4020603,0.2180796,0.379855,0.4020603,263.4385792,248.1458629
C40079,0.2558012,0.424399,0.3197763,0.2558012,0.424399,0.3197763,263.2801292,248.6322708
C40081,0.2115705,0.408814,0.3796039,0.2115705,0.408814,0.3796039,263.061757,248.3672417
C40083,0.1734516,0.366979,0.4595761,0.1734516,0.366979,0.4595761,262.5450547,247.2776508
C40085,0.2476223,0.439567,0.312831,0.2476223,0.439567,0.312831,262.7780604,247.9098389
C40087,0.1808643,0.377348,0.4417896,0.1808643,0.377348,0.4417896,263.4417585,247.7171472
C40089,0.2611635,0.431918,0.3069198,0.2611635,0.431918,0.3069198,262.7346385,248.3539771
C4009,0.2531987,0.389197,0.3576012,0.2531987,0.389197,0.3576012,263.887285,247.8288819
C40091,0.2271099,0.419907,0.3529791,0.2271099,0.419907,0.3529791,263.0084866,248.228085
C40093,0.1927388,0.422194,0.3850729,0.1927388,0.422194,0.3850729,264.1440342,249.1172655
C40095,0.2667156,0.380393,0.3528846,0.2667156,0.380393,0.3528846,263.1794318,248.7311415
C40097,0.2142332,0.402445,0.3833353,0.2142332,0.402445,0.3833353,263.3252332,248.2739348
C40099,0.2157497,0.406295,0.3779433,0.2157497,0.406295,0.3779433,262.8390088,249.3363804
C40101,0.2387954,0.388552,0.3726513,0.2387954,0.388552,0.3726513,263.5373617,248.5127778
C40103,0.1704126,0.380829,0.4487518,0.1704126,0.380829,0.4487518,262.9562097,247.325552
C40105,0.2212207,0.439333,0.3394493,0.2212207,0.439333,0.3394493,262.1051808,248.7246959
C40107,0.2849062,0.406175,0.3089302,0.2849062,0.406175,0.3089302,263.6142265,248.0575666
C40109,0.2318643,0.310832,0.4573256,0.2318643,0.310832,0.4573256,263.8013482,247.8746031
C4011,0.2431365,0.410734,0.3461463,0.2431365,0.410734,0.3461463,261.83195,248.1050272
C40111,0.2186975,0.391175,0.3901407,0.2186975,0.391175,0.3901407,263.0190069,247.36924
C40113,0.2068179,0.428022,0.3651609,0.2068179,0.428022,0.3651609,263.4784539,246.5641573
C40115,0.2366309,0.388783,0.3745922,0.2366309,0.388783,0.3745922,263.0733797,248.0133691
C40117,0.1818807,0.437588,0.3805351,0.1818807,0.437588,0.3805351,262.1496666,248.9548472
C40119,0.1508938,0.312681,0.5364234,0.1508938,0.312681,0.5364234,262.1738988,248.8625339
C4012,0.3159761,0.424964,0.2590478,0.3159761,0.424964,0.2590478,263.674237,248.2503354
C40121,0.2107764,0.390614,0.3986288,0.2107764,0.390614,0.3986288,262.2593028,247.9244741
C40123,0.1859842,0.370482,0.4435297,0.1859842,0.370482,0.4435297,263.7530503,248.1909301
C40125,0.2021258,0.382961,0.4149139,0.2021258,0.382961,0.4149139,262.4583359,247.475141
C40127,0.2530962,0.411645,0.3352577,0.2530962,0.411645,0.3352577,262.5990239,248.3994415
C40129,0.1642528,0.400778,0.4349696,0.1642528,0.400778,0.4349696,263.3990306,248.3354098
C4013,0.2185034,0.3262632,0.4552353,0.2185034,0.3262632,0.4552353,264.5391962,247.8848301
C40131,0.1441304,0.362534,0.4933404,0.1441304,0.362534,0.4933404,262.6674999,248.8488349
C40133,0.2403481,0.388092,0.371583,0.2403481,0.388092,0.371583,263.8308788,248.4437879
C40135,0.250248,0.406265,0.3434947,0.250248,0.406265,0.3434947,262.8859904,248.837938
