ID,Total Population,% Male,% Female,% Hispanic,% White,% Black,% Asian,% Native Americans,% Hawaiian/Pacific Islander,% Other,% Less Than High School,% High School/GED,% More Than High School,% Speak English Not Well,% Foreign-Born entered U.S. after 2010,% Foreign-Born entered U.S. 1990-2009,% Foreign-Born entered U.S. after 1990,% Foreign-Born entered U.S. before 1990,% Below 100 Poverty,% Below 150 Poverty,% SNAP/Food Stamps,Median HH Income,% Employed,% Unemployed,% Not in Labor Force,% Management/Professional Occupation,% Service Occupation,% Sales/Office Occupation,% Natural Resources/Construction/Maitanance Occupation,% Military Occupation,% Production/Transportation/Moving Occupation,% No Health Insurance
39081,67349,0.484,0.516,0.013,0.914,0.057,0.004,0.001,0.000,0.023,0.097,0.429,0.475,0.114,0.112,0.204,0.316,0.420,0.176,0.275,0.185,43161.000,0.460,0.042,0.254,0.289,0.210,0.244,0.097,0.000,0.159,0.070
39083,60945,0.489,0.511,0.014,0.966,0.010,0.004,0.001,0.000,0.019,0.091,0.415,0.494,0.076,0.080,0.312,0.392,0.378,0.138,0.209,0.126,51211.000,0.559,0.035,0.195,0.323,0.185,0.204,0.101,0.000,0.187,0.101
39085,229701,0.489,0.511,0.040,0.918,0.039,0.012,0.001,0.000,0.029,0.079,0.329,0.592,0.154,0.136,0.412,0.548,0.359,0.083,0.148,0.084,61137.000,0.587,0.030,0.157,0.369,0.165,0.243,0.072,0.000,0.152,0.058
39087,61057,0.491,0.509,0.009,0.954,0.019,0.005,0.000,0.000,0.021,0.141,0.423,0.436,0.081,0.067,0.168,0.235,0.482,0.186,0.292,0.223,45466.000,0.476,0.035,0.268,0.295,0.196,0.246,0.076,0.000,0.187,0.078
39089,170678,0.490,0.510,0.017,0.924,0.036,0.010,0.001,0.000,0.029,0.097,0.357,0.546,0.097,0.198,0.373,0.571,0.188,0.118,0.200,0.126,59747.000,0.582,0.037,0.185,0.361,0.164,0.247,0.092,0.001,0.136,0.074
39091,45323,0.495,0.505,0.015,0.949,0.017,0.007,0.002,0.000,0.024,0.097,0.494,0.409,0.214,0.086,0.414,0.499,0.341,0.137,0.216,0.130,53051.000,0.558,0.035,0.198,0.274,0.123,0.197,0.089,0.000,0.316,0.093
39093,305405,0.493,0.507,0.095,0.852,0.084,0.010,0.003,0.000,0.050,0.105,0.322,0.574,0.145,0.105,0.232,0.336,0.240,0.137,0.216,0.133,54987.000,0.544,0.042,0.203,0.338,0.178,0.241,0.083,0.001,0.160,0.059
39095,433404,0.485,0.515,0.068,0.724,0.190,0.018,0.003,0.000,0.065,0.114,0.299,0.587,0.127,0.191,0.401,0.592,0.274,0.198,0.297,0.197,44820.000,0.545,0.052,0.214,0.338,0.192,0.231,0.070,0.000,0.169,0.073
39097,43732,0.546,0.454,0.019,0.905,0.058,0.011,0.003,0.000,0.022,0.134,0.410,0.456,0.131,0.290,0.239,0.529,0.146,0.102,0.176,0.138,62897.000,0.500,0.029,0.293,0.314,0.167,0.213,0.117,0.000,0.188,0.077
39099,231857,0.487,0.513,0.056,0.801,0.152,0.008,0.003,0.000,0.035,0.095,0.382,0.523,0.159,0.087,0.244,0.331,0.288,0.176,0.280,0.193,43251.000,0.508,0.048,0.205,0.321,0.188,0.249,0.084,0.000,0.157,0.065
